Transaction_ID|Year|Units_Sold_Quantity|Unit_Price|Unit_Cost
Apr_229150|2018|21|3.11|1.94
apr_229150|2016|5|4.11|1.76
Apr_229150|2017|2|2.11|1.54
april_229150|2018|11|3.11|1.94
Apr_449976|2016|15|3.64|1.76
Apr_449976|2017|12|2.42|1.86
Apr_449976|2015|21|2.72|1.6
Apr_449976|2017|24|3.59|1.56
Apr_449976|2016|24|2.3|1.76
Apr_667746|2018|9|4.57|1.94
apr_667746|2018|9|2.76|1.94
Apr_667746|2018|15|2.88|1.94
April_778102|2016|24|3.93|1.76
Apr_778102|2017|15|4.02|1.76
Apr_778102|2014|6|2.3|1.94
Apr_778102|2018|18|3.78|1.94
apr_904587|2016|9|3.23|1.76
apr_904587|2016|21|3.74|1.76
Apr_904587|2017|15|2.53|1.86
Aug_228914|2017|30|3.01|1.86
Aug_228914|2017|9|3.97|1.86
Aug_449976|2015|15|2.55|1.6
Aug_449976|2016|27|3.49|1.76
August_449976|2016|18|2.13|1.76
Aug_667841|2018|12|4.4|1.94
Aug_667841|2018|30|2.69|1.94
Aug_667841|2018|9|3.69|1.94
Aug_778102|2018|12|3.89|1.94
August_778102|2016|12|3.95|1.76
Aug_778102|2014|21|2.46|1.94
Aug_778102|2014|15|2.67|1.6
Aug_778102|2017|24|4.17|1.68
Aug_909881|2014|6|4.15|1.66
Aug_909881|2015|9|3.79|1.6
Aug_909881|2015|12|3.35|1.6
Aug_909881|2016|36|2.58|1.76
Dec_229150|2017|6|2.99|1.86
Dec_778102|2014|12|3.27|1.6
Dec_778102|2016|9|3.97|1.76
Dec_778102|2018|42|4.15|1.94
Dec_778102|2018|21|3.93|1.94
Dec_778102|2016|24|4.19|1.76
Dec_778102|2014|27|3.23|1.6
Dec_778102|2017|9|4.4|1.76
Dec_778102|2014|12|2.63|1.88
Dec_778102|2014|6|2.88|1.66
Dec_778102|2017|24|4.19|1.76
Dec_904587|2015|6|3.3|1.6
Feb_228807|2016|6|2.88|1.76
Feb_778102|2017|15|4.35|1.62
Feb_778102|2014|15|3.13|1.8
Feb_778102|2018|15|4.09|1.94
Feb_778102|2016|9|4.04|1.76
Feb_778102|2014|27|3.69|1.7
Feb_904587|2014|15|4.04|1.98
Feb_904587|2016|9|3.23|1.76
Feb_904587|2015|21|3.74|1.6
